concept,boxes,unified_class,method,via
Heterorete,3,,unresolved,
Actinoscyphia,3,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Peniagone sp. 1,3,benthic_invert,ancestry,Holothuroidea
Parmaturus xaniurus,3,fish,ancestry,Elasmobranchii
Chelonia mydas,3,,unresolved,
Colobonema sericeum,3,gelatinous,ancestry,Hydrozoa
Farreidae,3,reef,ancestry,Porifera
Propeamussium meridionale,3,benthic_invert,ancestry,Bivalvia
Phacellophora camtschatica,3,gelatinous,ancestry,Scyphozoa
Pseudostichopus mollis,3,benthic_invert,ancestry,Holothuroidea
Ischnomesidae,3,benthic_invert,ancestry,Isopoda
Victorgorgia alba,3,,unresolved,
Euryalidae,3,,unresolved,
Galiteuthis phyllura,3,,unresolved,
laser,3,,unresolved,
Craseoa lathetica,3,gelatinous,ancestry,Hydrozoa;Siphonophorae
Thenea,3,reef,ancestry,Porifera
Culeolus,3,,unresolved,
Solaster,3,benthic_invert,ancestry,Asteroidea
Solmaris,3,gelatinous,ancestry,Hydrozoa
Sebastes babcocki,3,fish,ancestry,Actinopterygii;Sebastes
Decapodiformes,3,,unresolved,
Albatrossia pectoralis,3,fish,ancestry,Actinopterygii;Macrouridae
Parapagurus,3,benthic_invert,ancestry,Decapoda
Coryphaenoides leptolepis,3,fish,ancestry,Actinopterygii;Macrouridae
Pannychia sp. 1,3,benthic_invert,ancestry,Holothuroidea
Munida quadrispina,3,benthic_invert,ancestry,Decapoda
Gymnopraia lapislazula,3,gelatinous,ancestry,Hydrozoa;Siphonophorae
Actiniidae,3,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Octopoteuthis deletron,3,,unresolved,
Squalus suckleyi,3,fish,ancestry,Elasmobranchii
Copepoda,3,,unresolved,
Heterocarpus sp. 1,3,benthic_invert,ancestry,Decapoda
Semperella,3,,unresolved,
Bathydorus laniger,3,reef,ancestry,Porifera
Eualus sp.,3,,unresolved,
Corallimorphidae,3,reef,ancestry,Anthozoa
Pleurobranchaea californica,3,benthic_invert,ancestry,Gastropoda
Bathypterois pectinatus,3,fish,ancestry,Actinopterygii
cardboard,3,debris,ancestry,trash
Psolidae,3,benthic_invert,ancestry,Holothuroidea
Dibranchus hystrix,3,fish,ancestry,Actinopterygii
Plesionika sp. A,3,benthic_invert,ancestry,Decapoda
Chondrocladia,3,reef,ancestry,Porifera
Hexactinellida sp. 6,3,reef,ancestry,Porifera
Muusoctopus,3,benthic_invert,ancestry,Octopoda
site marker,3,equipment,ancestry,equipment
Munidopsis kensmithi,3,benthic_invert,ancestry,Decapoda;Munidopsis
Munidopsis depressa,3,benthic_invert,ancestry,Decapoda;Munidopsis
Benthopecten,3,benthic_invert,ancestry,Asteroidea
Ophiodon elongatus,3,fish,ancestry,Actinopterygii
ship container,3,debris,ancestry,trash
Hastigerinella digitata,3,,unresolved,
Terebratulina complex,3,,unresolved,
Atolla vanhoeffeni,3,gelatinous,ancestry,Atolla;Scyphozoa
Chirostyloidea,3,benthic_invert,ancestry,Decapoda
Diadematidae,3,,unresolved,
Calliostoma,3,benthic_invert,ancestry,Gastropoda
enclosure,3,equipment,ancestry,equipment
Free Ocean CO2 Experiment,3,equipment,ancestry,equipment
Saxipendium implicatum,3,,unresolved,
Chrysogorgia monticola,3,reef,ancestry,Anthozoa;Gorgonacea
Nanomia bijuga nectosome,3,,unresolved,
DeepPIV 1.0,2,equipment,ancestry,equipment
Scyphozoa,2,gelatinous,exact,Scyphozoa
Pyuridae,2,,unresolved,
enteropneust spiral fecal cast,2,,unresolved,
Serranidae,2,fish,ancestry,Actinopterygii
Doliolina (Doliolinetta),2,,unresolved,
Sergestidae,2,benthic_invert,ancestry,Decapoda
Planctoteuthis,2,,unresolved,
Rochinia,2,,unresolved,
Dendrophyllia,2,reef,ancestry,Anthozoa;Scleractinia
Salpa,2,gelatinous,ancestry,Salpida
Alcyoniidae,2,reef,ancestry,Anthozoa;Gorgonacea
Cidaridae,2,benthic_invert,ancestry,Echinoidea
Gorgonocephalus,2,benthic_invert,ancestry,Ophiuroidea
Opiuroidea,2,,unresolved,
Walteria flemmingi,2,,unresolved,
Taonius borealis,2,,unresolved,
Buccinidae,2,benthic_invert,ancestry,Gastropoda
Clausophyidae,2,gelatinous,ancestry,Hydrozoa;Siphonophorae
Pachycara bulbiceps,2,fish,ancestry,Actinopterygii;Zoarcidae
Carcharhiniformes,2,fish,ancestry,Elasmobranchii
Symphurus oligomerus,2,fish,ancestry,Actinopterygii;Pleuronectiformes
Xeneretmus latifrons,2,fish,ancestry,Actinopterygii
Tritonia,2,benthic_invert,ancestry,Gastropoda
Verum proximum,2,,unresolved,
Asthenactis,2,benthic_invert,ancestry,Asteroidea
Dofleinia,2,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Aulostomus chinensis,2,,unresolved,
Salpidae,2,gelatinous,ancestry,Salpida
Bathypterois,2,fish,ancestry,Actinopterygii
Peniagone vitrea- sp. 1 complex,2,benthic_invert,ancestry,Holothuroidea
Octacnemidae sp. 1,2,,unresolved,
DeepPIV 2.0,2,equipment,ancestry,equipment
Brisingidae,2,benthic_invert,ancestry,Asteroidea;Brisingida
Chrysogorgia geniculata,2,,unresolved,
Narella macrocalyx,2,,unresolved,
Ophiuridae,2,benthic_invert,ancestry,Ophiuroidea
Munididae,2,benthic_invert,ancestry,Decapoda
Midwater Respirometry System,2,equipment,ancestry,equipment
Buccinum,2,benthic_invert,ancestry,Gastropoda
DeepPIV 3.0,2,equipment,ancestry,equipment
Anthomastus sp.,2,,unresolved,
Myxasteridae,2,benthic_invert,ancestry,Asteroidea
Caryophylliidae skeleton,2,,unresolved,
Madrepora oculata,2,,unresolved,
Callistephanus,2,reef,ancestry,Anthozoa;Gorgonacea
Balanophyllia (Balanophyllia) elegans ,2,,unresolved,
octopus,2,,unresolved,
Tjalfiellidae,2,gelatinous,ancestry,Ctenophora
Stylocordyla sp.,2,,unresolved,
Anthoptilum grandiflorum,2,reef,ancestry,Anthozoa;Gorgonacea
Eukrohnia fowleri,2,,unresolved,
pillow lava,2,,unresolved,
Protoptilum,2,reef,ancestry,Anthozoa;Gorgonacea
sponge,2,,unresolved,
Peniagone sp. 2,2,benthic_invert,ancestry,Holothuroidea
probe,2,equipment,ancestry,equipment
Rosacea,2,gelatinous,ancestry,Hydrozoa;Siphonophorae
Bathymetrinae,2,benthic_invert,ancestry,Crinoidea
Lamoha,2,,unresolved,
Bonelliidae,2,benthic_invert,ancestry,Polychaeta
Coryphaenoides filifer,2,fish,ancestry,Actinopterygii;Macrouridae
Solemyidae,2,benthic_invert,ancestry,Bivalvia
Spectrunculus grandis,2,fish,ancestry,Actinopterygii;Ophidiidae
Careproctus kamikawai,2,fish,ancestry,Actinopterygii;Careproctus
Rhodaliidae,2,gelatinous,ancestry,Hydrozoa;Physonectae;Siphonophorae
Bathyraja,2,fish,ancestry,Elasmobranchii;Rajiformes
Haliscera conica,2,gelatinous,ancestry,Hydrozoa
Delectopecten sp.,2,,unresolved,
Corallium,2,reef,ancestry,Anthozoa;Gorgonacea
Chrysogorgia pinnata,2,reef,ancestry,Anthozoa;Gorgonacea
Abraliopsis,2,,unresolved,
Narcomedusae,2,gelatinous,ancestry,Hydrozoa
Munida sp.,2,,unresolved,
inner filter,2,,unresolved,
Ampheraster sp.,2,,unresolved,
Parophrys vetulus,2,fish,ancestry,Actinopterygii;Pleuronectiformes
Pedicellasteridae,2,benthic_invert,ancestry,Asteroidea
Lophiiformes,2,fish,ancestry,Actinopterygii
Bathochordaeinae,2,gelatinous,ancestry,Larvacea
Sardinops sagax,2,fish,ancestry,Actinopterygii
Sebastes entomelas,2,fish,ancestry,Actinopterygii;Sebastes
Munidopsidae,2,benthic_invert,ancestry,Decapoda
cage,2,equipment,ancestry,equipment
tire,2,debris,ancestry,trash
Beryx decadactylus,2,,unresolved,
Victorgorgia,2,,unresolved,
Biology box,2,equipment,ancestry,equipment
CO2 Corral,2,equipment,ancestry,equipment
Physophora hydrostatica,2,gelatinous,ancestry,Hydrozoa;Physonectae;Siphonophorae
Gadiformes,2,fish,ancestry,Actinopterygii
Alvinocaris costaricensis,2,,unresolved,
Ridgeia,2,benthic_invert,ancestry,Polychaeta
Heteralepas,2,,unresolved,
Munida bapensis,2,benthic_invert,ancestry,Decapoda
Lycodes,2,fish,ancestry,Actinopterygii;Zoarcidae
Lyopsetta exilis,2,fish,ancestry,Actinopterygii;Pleuronectiformes
Agonidae,2,fish,ancestry,Actinopterygii
Bolosoma,2,,unresolved,
Marrus,2,gelatinous,ancestry,Hydrozoa;Physonectae;Siphonophorae
Enteroctopus,2,benthic_invert,ancestry,Octopoda
Narella,2,reef,ancestry,Anthozoa;Gorgonacea
Mesochordaeus erythrocephalus,2,gelatinous,ancestry,Larvacea
Eretmichthys pinnatus,2,fish,ancestry,Actinopterygii;Ophidiidae
Distichoptilum,2,reef,ancestry,Anthozoa;Gorgonacea
Cherublemma emmelas,2,fish,ancestry,Actinopterygii;Ophidiidae
Myxoderma,2,benthic_invert,ancestry,Asteroidea
Chuniphyes multidentata,2,gelatinous,ancestry,Hydrozoa;Siphonophorae
Sperosomatinae sp.1,2,,unresolved,
Pseudomunida fragilis,2,,unresolved,
Sibogagorgia,2,reef,ancestry,Anthozoa;Gorgonacea
Proisocrinus ruberrimus,2,,unresolved,
Tromikosoma,2,benthic_invert,ancestry,Echinoidea
Rossellidae,2,reef,ancestry,Porifera
Oikopleura,2,gelatinous,ancestry,Larvacea
Chonelasmatinae sp. 1,2,reef,ancestry,Porifera
Laetmogone wyvillethomsoni,2,benthic_invert,ancestry,Holothuroidea
outer filter,2,,unresolved,
bottle,2,debris,ancestry,trash
Urophycis cirrata,2,,unresolved,
Acesta mori,2,benthic_invert,ancestry,Bivalvia
Osmeriformes,2,fish,ancestry,Actinopterygii
Sebastes elongatus,2,fish,ancestry,Actinopterygii;Sebastes
Camptoplites sp. A,1,,unresolved,
Phoca vitulina richardii,1,,unresolved,
Gonatus berryi,1,,unresolved,
Moridae,1,fish,ancestry,Actinopterygii
Pandalus danae,1,,unresolved,
Calliarthron,1,,unresolved,
Clavelina huntsmani,1,,unresolved,
Calyptogena,1,benthic_invert,ancestry,Bivalvia
Epialtidae,1,,unresolved,
Cidaris cidaris,1,,unresolved,
Poliopogon sp.,1,,unresolved,
Pleurogorgia militaris,1,,unresolved,
Diogenidae,1,benthic_invert,ancestry,Decapoda
Urticina piscivora,1,,unresolved,
Centrostephanus coronatus,1,,unresolved,
Pleurobranchidae,1,,unresolved,
Aeolidia,1,benthic_invert,ancestry,Gastropoda
Doryteuthis opalescens,1,,unresolved,
Alcyonacea,1,reef,ancestry,Anthozoa;Gorgonacea
Barathrites,1,fish,ancestry,Actinopterygii;Ophidiidae
sea squirt,1,,unresolved,
Proisocrinidae,1,,unresolved,
Phymorhynchus,1,,unresolved,
lobed ctenophore,1,,unresolved,
Fritillaria,1,gelatinous,ancestry,Larvacea
Calocarcinus,1,,unresolved,
Heteroscleromorpha,1,,unresolved,
Coronaster halicepus,1,,unresolved,
Heteropathes pacifica,1,,unresolved,
Narella calamus,1,,unresolved,
siphon,1,,unresolved,
Chrysogorgia stellata,1,,unresolved,
net,1,debris,ancestry,trash
Gonatopsis octopedatus,1,,unresolved,
Anthoptilidae,1,reef,ancestry,Anthozoa;Gorgonacea
Elpidia,1,benthic_invert,ancestry,Holothuroidea
Amphianthus sp.,1,,unresolved,
Thalassocalycida,1,gelatinous,ancestry,Ctenophora
Halcurias,1,,unresolved,
Bullagummizoanthus emilyacadiaarum,1,,unresolved,
eggs,1,,unresolved,
Heteropathes,1,reef,ancestry,Anthozoa
Beroe gracilis,1,gelatinous,ancestry,Beroe;Ctenophora
Solmarisidae,1,gelatinous,ancestry,Hydrozoa
Marine organism,1,,unresolved,
Branchiocerianthus imperator,1,gelatinous,ancestry,Hydrozoa
Acoustic Doppler Current Profiler,1,equipment,ancestry,equipment
mooring,1,equipment,ancestry,equipment
calycophoran siphonophore,1,,unresolved,
Ilyophis,1,,unresolved,
Sympagurus dofleini,1,,unresolved,
Sebastes cortezi,1,fish,ancestry,Actinopterygii;Sebastes
Ophidiiformes,1,fish,ancestry,Actinopterygii
Opisthoteuthis,1,benthic_invert,ancestry,Octopoda
Lyssacinosida,1,reef,ancestry,Porifera
Incirrata,1,benthic_invert,ancestry,Octopoda
Octacnemus sp. 1,1,,unresolved,
Rhinochimaeridae,1,fish,ancestry,Chimaeriformes
Cataetyx rubrirostris,1,fish,ancestry,Actinopterygii
Iridogorgia bella,1,,unresolved,
Physiculus rastrelliger,1,fish,ancestry,Actinopterygii
Tarsastrocles verrilli,1,,unresolved,
Stelodoryx,1,,unresolved,
Calibelemnon symmetricum,1,,unresolved,
Eknomisis,1,,unresolved,
Antiopella,1,,unresolved,
Grammatonotus laysanus,1,,unresolved,
Callogorgia robusta,1,,unresolved,
Callogorgia,1,,unresolved,
Antipathes,1,reef,ancestry,Anthozoa
Animalia,1,,unresolved,
Latreillia metanesa,1,,unresolved,
Corbitellinae,1,reef,ancestry,Porifera
Gilbertaster,1,,unresolved,
Lycenchelys sp. 1,1,fish,ancestry,Actinopterygii;Zoarcidae
Thaumatocrinus rugosus,1,,unresolved,
Hexactinella,1,reef,ancestry,Porifera
Anthomastus,1,reef,ancestry,Anthozoa;Gorgonacea
Sphaeriodiscus,1,,unresolved,
Jasonisis,1,,unresolved,
Hollardia,1,fish,ancestry,Actinopterygii
Euretidae,1,reef,ancestry,Porifera
Detritus Sampler,1,equipment,ancestry,equipment
Calyptrophora diaphana,1,,unresolved,
hairpin enteropneust fecal cast,1,,unresolved,
Stereochlamis,1,,unresolved,
Parastichopus,1,benthic_invert,ancestry,Holothuroidea
physonect siphonophore,1,,unresolved,
Euryplegma,1,,unresolved,
Tarletonbeania,1,fish,ancestry,Actinopterygii;Myctophidae
Brotula multibarbata,1,,unresolved,
Patiria miniata,1,benthic_invert,ancestry,Asteroidea
Apristurus brunneus,1,fish,ancestry,Elasmobranchii
Lycodapus fierasfer,1,fish,ancestry,Actinopterygii;Zoarcidae
Aegidae,1,,unresolved,
pyrosome,1,,unresolved,
Stolonifera,1,reef,ancestry,Anthozoa;Gorgonacea
Sebastes crameri,1,fish,ancestry,Actinopterygii;Sebastes
Rossellinae,1,reef,ancestry,Porifera
Iliophys cf. arx,1,,unresolved,
black coral,1,,unresolved,
urchin,1,,unresolved,
Styelidae,1,,unresolved,
Hydromedusae,1,gelatinous,ancestry,Hydrozoa
Ellisellidae,1,,unresolved,
Paracalyptrophora hawaiiensis,1,,unresolved,
Pleurochorium,1,,unresolved,
Euplexaura,1,,unresolved,
Anthomastus tahinodus,1,,unresolved,
Phyllochaetopterus gigas,1,benthic_invert,ancestry,Polychaeta
Henricia,1,benthic_invert,ancestry,Asteroidea
Munnopsurus,1,benthic_invert,ancestry,Isopoda
Tridacna,1,,unresolved,
Scorpaena plumieri,1,,unresolved,
Aglantha,1,gelatinous,ancestry,Hydrozoa
BED,1,,unresolved,
Octopus,1,benthic_invert,ancestry,Octopoda
Uroptychus sp.,1,,unresolved,
Fecampiid eggcase,1,,unresolved,
Bellonella,1,,unresolved,
Lycodes pacificus,1,fish,ancestry,Actinopterygii;Zoarcidae
Bonelliida,1,benthic_invert,ancestry,Polychaeta
Amblyraja hyperborea,1,fish,ancestry,Elasmobranchii;Rajiformes
Icichthys lockingtoni,1,fish,ancestry,Actinopterygii
Vibracorer,1,equipment,ancestry,equipment
Bolosominae,1,reef,ancestry,Porifera
Stylasteridae	,1,,unresolved,
burrow,1,,unresolved,
Sergestoidea,1,benthic_invert,ancestry,Decapoda
Lycodinae,1,fish,ancestry,Actinopterygii;Zoarcidae
Sladenia zhui,1,,unresolved,
Radiozoa,1,,unresolved,
Eualus townsendi,1,,unresolved,
Pyloderma,1,,unresolved,
Cephalopoda,1,,unresolved,
test,1,,unresolved,
Asbestopluma sp.,1,,unresolved,
Chorilia sp.,1,,unresolved,
Iosactis,1,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Polyplacophora,1,,unresolved,
Eopsetta jordani,1,fish,ancestry,Actinopterygii;Pleuronectiformes
Actinostola sp.,1,,unresolved,
Solanderia,1,,unresolved,
Plumarella circumoperculum,1,,unresolved,
Chionoecetes sp.,1,,unresolved,
Clavularia sp.,1,,unresolved,
Parantipathes,1,reef,ancestry,Anthozoa
Ceriantharia sp. 1,1,reef,ancestry,Anthozoa
Eumedusa,1,gelatinous,ancestry,Hydrozoa
Sebastes pinniger,1,fish,ancestry,Actinopterygii;Sebastes
Hertwigia,1,,unresolved,
rock,1,,unresolved,
Pandalidae,1,benthic_invert,ancestry,Decapoda
Metallogorgia melanotrichos,1,,unresolved,
medusa,1,,unresolved,
Bassogigas,1,,unresolved,
Lithodoidea,1,benthic_invert,ancestry,Decapoda
Sabellida?,1,,unresolved,
Staurocalyptus solidus ,1,,unresolved,
Plinthaster,1,,unresolved,
Holothuria (Vaneyothuria) zacae,1,benthic_invert,ancestry,Holothuroidea
Pontinus furcirhinus,1,fish,ancestry,Actinopterygii;Scorpaenidae
Oikopleuridae,1,gelatinous,ancestry,Larvacea
Graneledone,1,benthic_invert,ancestry,Octopoda
Cystisoma,1,,unresolved,
Thermopalia,1,gelatinous,ancestry,Hydrozoa;Physonectae;Siphonophorae
Careproctus filamentosus,1,fish,ancestry,Actinopterygii;Careproctus
Polychaeta sp.,1,,unresolved,
Hemicorallium laauense,1,,unresolved,
Mitrocomidae,1,gelatinous,ancestry,Hydrozoa
Coryphaenoides capito,1,fish,ancestry,Actinopterygii;Macrouridae
sand,1,,unresolved,
Pachycara,1,fish,ancestry,Actinopterygii;Zoarcidae
decapoda,1,,unresolved,
Sternostylus perarmatus,1,benthic_invert,ancestry,Decapoda
coral transplant container,1,equipment,ancestry,equipment
Sternostylus,1,benthic_invert,ancestry,Decapoda
Macroregonia macrochira,1,benthic_invert,ancestry,Decapoda
Physiculus nematopus,1,fish,ancestry,Actinopterygii
Paralithodes rathbuni,1,benthic_invert,ancestry,Decapoda
kelp holdfast,1,,unresolved,
Hydrolagus melanophasma,1,fish,ancestry,Chimaeriformes
Sicyonis sp.,1,,unresolved,
Osteodiscus,1,fish,ancestry,Actinopterygii
Holothuroidea sp. 7,1,benthic_invert,ancestry,Holothuroidea
Cirolanidae,1,,unresolved,
Leptogorgia,1,reef,ancestry,Anthozoa;Gorgonacea
Stomphia sp.,1,,unresolved,
Tomopteridae,1,benthic_invert,ancestry,Polychaeta
Poralia sp.,1,,unresolved,
Cancridae,1,benthic_invert,ancestry,Decapoda
Kophobelemnon,1,reef,ancestry,Anthozoa;Gorgonacea
Physiculus sp. 1,1,fish,ancestry,Actinopterygii
Bathyalcyon,1,reef,ancestry,Anthozoa;Gorgonacea
Clio,1,benthic_invert,ancestry,Gastropoda
Dibranchus,1,fish,ancestry,Actinopterygii
Scaphopoda,1,,unresolved,
Aspidoscopulia,1,,unresolved,
Sebastes ovalis,1,fish,ancestry,Actinopterygii;Sebastes
Tomopterid eggcase,1,benthic_invert,ancestry,Polychaeta
Neogastropoda,1,benthic_invert,ancestry,Gastropoda
Stenorhynchus seticornis,1,,unresolved,
Emblemariopsis,1,,unresolved,
Tergivelum sp. A,1,,unresolved,
Eutonina indicans,1,gelatinous,ancestry,Hydrozoa
Halitrephes,1,gelatinous,ancestry,Hydrozoa
Hexactinellida sp. 4,1,reef,ancestry,Porifera
Dibranchus sp. A,1,fish,ancestry,Actinopterygii
sheet flow,1,,unresolved,
Sebastes phillipsi,1,fish,ancestry,Actinopterygii;Sebastes
Hormiphora,1,gelatinous,ancestry,Ctenophora
Japetella diaphana,1,benthic_invert,ancestry,Octopoda
rock outcrop,1,,unresolved,
Poraniopsis,1,benthic_invert,ancestry,Asteroidea
Beroida,1,gelatinous,ancestry,Ctenophora
Bathypathes cf. conferta,1,,unresolved,
Enteropneusta,1,,unresolved,
Macrourinae,1,fish,ancestry,Actinopterygii;Macrouridae
Hyocrinus,1,benthic_invert,ancestry,Crinoidea
Thalassocalyce,1,,unresolved,
Sebastes jordani,1,fish,ancestry,Actinopterygii;Sebastes
larvacean house,1,,unresolved,
Hansenothuria,1,,unresolved,
Parastichopus leukothele,1,,unresolved,
Sebastes goodei,1,fish,ancestry,Actinopterygii;Sebastes
bottle-2,1,debris,ancestry,trash
rope,1,debris,ancestry,trash
Myxoderma sacculatum,1,benthic_invert,ancestry,Asteroidea
Eualus macrophthalmus,1,benthic_invert,ancestry,Decapoda
Bolinopsis infundibulum,1,gelatinous,ancestry,Bolinopsis;Ctenophora
Gonatus onyx,1,,unresolved,
Benthic Respiration System,1,equipment,ancestry,equipment
Coryphaenoides armatus-leptolepis-yaquinae complex,1,fish,ancestry,Actinopterygii;Macrouridae
military apparatus,1,debris,ancestry,trash
Alcyonium varum,1,reef,ancestry,Anthozoa;Gorgonacea
Penaeoidea,1,benthic_invert,ancestry,Decapoda
Luciobrotula sp. A,1,fish,ancestry,Actinopterygii;Ophidiidae
Zebrasoma flavescens,1,,unresolved,
Pagurus,1,benthic_invert,ancestry,Decapoda;Paguridae
Scrippsia pacifica,1,gelatinous,ancestry,Hydrozoa
Creseis virgula,1,benthic_invert,ancestry,Gastropoda
Macroprimnoa ornata,1,,unresolved,
Sebastes ensifer,1,fish,ancestry,Actinopterygii;Sebastes
Nemichthyidae,1,fish,ancestry,Actinopterygii
Porifera sp. 1,1,reef,ancestry,Porifera
Tonrometra,1,benthic_invert,ancestry,Crinoidea
Octacnemidae,1,,unresolved,
Farrea truncata complex,1,reef,ancestry,Porifera
Tochuina gigantea,1,benthic_invert,ancestry,Gastropoda
Hyocrinida,1,benthic_invert,ancestry,Crinoidea
Careproctus longifilis,1,fish,ancestry,Actinopterygii;Careproctus
Pomacentridae,1,fish,ancestry,Actinopterygii
Acanthuridae,1,fish,ancestry,Actinopterygii
Scaridae,1,,unresolved,
Echinothrix,1,,unresolved,
Forcipiger flavissimus,1,,unresolved,
Pennatulacea sp. 1,1,reef,ancestry,Anthozoa;Gorgonacea;Pennatulacea
Lumpenus sagitta,1,fish,ancestry,Actinopterygii
Epizoanthidae,1,reef,ancestry,Anthozoa
Icelinus,1,fish,ancestry,Actinopterygii
Munida sp. A,1,benthic_invert,ancestry,Decapoda
Virgularia,1,reef,ancestry,Anthozoa;Gorgonacea
Firesting O2-temp sensor,1,equipment,ancestry,equipment
Umbellapathes,1,reef,ancestry,Anthozoa
Psamminidae sp. 2,1,,unresolved,
Eye-in-the-Sea,1,equipment,ancestry,equipment
Benthic Rover,1,equipment,ancestry,equipment
Bathydorus sp. 1,1,reef,ancestry,Porifera
Tomopteris nisseni,1,benthic_invert,ancestry,Polychaeta
Dipsacaster eximius,1,benthic_invert,ancestry,Asteroidea
Swima,1,benthic_invert,ancestry,Polychaeta
Scalpelliformes,1,,unresolved,
Homerpro,1,equipment,ancestry,equipment
Rhodaniridogorgia,1,,unresolved,
Porifera sp. 4,1,reef,ancestry,Porifera
Sibogagorgia cauliflora,1,reef,ancestry,Anthozoa;Gorgonacea
Ampheraster,1,benthic_invert,ancestry,Asteroidea
Asteroidea sp. 1,1,benthic_invert,ancestry,Asteroidea
Tenebrincola cukri,1,benthic_invert,ancestry,Gastropoda
human,1,,unresolved,
Chaetodon striatus,1,,unresolved,
Lutjanus apodus,1,,unresolved,
Haemulon sciurus,1,,unresolved,
Luidia foliolata,1,benthic_invert,ancestry,Asteroidea
Leuroglossus stilbius,1,fish,ancestry,Actinopterygii;Bathylagidae
Bathyteuthis,1,,unresolved,
amphipod tube mat,1,,unresolved,
Psychropotes sp. 1,1,benthic_invert,ancestry,Holothuroidea
Mediaster aequalis ,1,,unresolved,
Zoroaster sp.,1,,unresolved,
wood,1,,unresolved,
Gobiidae,1,fish,ancestry,Actinopterygii
Hymenaster sp.,1,,unresolved,
Parapagurus sp.,1,,unresolved,
mung,1,,unresolved,
Virgulariidae,1,reef,ancestry,Anthozoa;Gorgonacea
